"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-01","12.30",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","52","H,,S","55",",,W","39",",,W","  240",",,W","  230",",,W","28.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-02","2.46",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","44","H,,S","56",",,W","34",",,W","  140",",,W","  110",",,W","8.1",",,W","11.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-03","8.28",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","48","H,,S","61",",,W","38",",,W","  130",",,W","  140",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-04","10.51",",,W",,,"0.03",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","71",",,W","58",",,W","  230",",,W","  230",",,W","25.1",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-05","19.46",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","68","H,,S","75",",,W","61",",,W","  210",",,W","  200",",,W","35.1",",,W","48.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-06","10.96",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","65","H,,S","70",",,W","50",",,W","  220",",,W","  230",",,W","25.1",",,W","34.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-07","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","60",",,W","46",",,W","  340",",,W","  340",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-08","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","50","H,,S","62",",,W","42",",,W","  300",",,W","  290",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-09","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","56",",,W","37",",,W","  140",",,W","  140",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-10","8.72",",,W",,,"0.76",",,W,2400","0.0",",,W","0.0",",,W","52","H,,S","59",",,W","47",",,W","  260",",,W","  260",",,W","23.0",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-11","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","59",",,W","44",",,W","  280",",,W","  280",",,W","30.0",",,W","42.9",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-12","7.83",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","44","H,,S","50",",,W","36",",,W","   20",",,W","   20",",,W","23.0",",,W","33.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-13","6.93",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","42","H,,S","53",",,W","33",",,W","  110",",,W","  120",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-14","5.82",",,W",,,"0.47",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","51",",,W","44",",,W","  140",",,W","  130",",,W","19.9",",,W","25.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-15","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","51",",,W","47",",,W","  300",",,W","  300",",,W","14.1",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-16","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","51",",,W","46",",,W","  190",",,W","  190",",,W","17.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-17","12.30",",,W",,,"0.03",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","55",",,W","45",",,W","  180",",,W","  180",",,W","17.0",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-18","4.47",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","51","H,,S","58",",,W","40",",,W","  110",",,W","  110",",,W","8.1",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-19","10.07",",,W",,,"0.15",",,W,2400","0.0",",,W","0.0",",,W","55","H,,S","61",",,W","47",",,W","  150",",,W","  110",",,W","19.9",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-20","7.38",",,W",,,"0.17",",,W,2400","0.0","T,,W","0.0",",,W","46","H,,S","50",",,W","37",",,W","  270",",,W","  270",",,W","30.0",",,W","38.9",",,W","    1",",,W","    1",",,W",,,"    1",",,W",,,,,"    1",",,W",,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-21","10.29",",,W",,,"0.08",",,W,2400","0.2",",,W","0.0","T,,W","35","H,,S","38",",,W","32",",,W","  220",",,W","  220",",,W","19.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-22","13.42",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","39","H,,S","46",",,W","33",",,W","  330",",,W","  340",",,W","21.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-23","10.07",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","44","H,,S","46",",,W","42",",,W","  310",",,W","  290",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-24","8.50",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","42","H,,S","43",",,W","40",",,W","  220",",,W","  220",",,W","15.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2024-11-25","6.49",",,W",,,"0.04",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","51",",,W","41",",,W","  280",",,W","  270",",,W","19.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
